policy,workload,queue_depth,bank_count,refresh_interval,thread_count,completed_requests,dropped_requests,avg_latency_cycles,p95_latency_cycles,avg_wait_cycles,throughput_req_per_cycle,throughput_req_per_kcycle,row_buffer_hit_rate,jains_fairness,bank_utilization
frfcfs,workload1_random.txt,32,8,1.0,1,13101,86859,296.5311,701.0,242.6767,0.13101,131.01,0.0001,1.0,"{'bank_0': 0.91422, 'bank_1': 0.87462, 'bank_2': 0.85194, 'bank_3': 0.89838, 'bank_4': 0.88704, 'bank_5': 0.89838, 'bank_6': 0.85842, 'bank_7': 0.87678}"
frfcfs,workload1_random.txt,32,8,1.25,1,13198,86762,294.7731,699.0,240.9013,0.13198,131.98,0.0002,1.0,"{'bank_0': 0.9009, 'bank_1': 0.87822, 'bank_2': 0.88866, 'bank_3': 0.91386, 'bank_4': 0.92214, 'bank_5': 0.8757, 'bank_6': 0.83934, 'bank_7': 0.8955}"
frfcfs,workload1_random.txt,32,8,1.5,1,13158,86803,295.447,748.0,241.5482,0.13158,131.58,0.0001,1.0,"{'bank_0': 0.89748, 'bank_1': 0.9144, 'bank_2': 0.87642, 'bank_3': 0.88182, 'bank_4': 0.90288, 'bank_5': 0.91584, 'bank_6': 0.83862, 'bank_7': 0.86886}"
frfcfs,workload1_random.txt,32,8,1.0,1,13101,86859,296.5311,701.0,242.6767,0.13101,131.01,0.0001,1.0,"{'bank_0': 0.91422, 'bank_1': 0.87462, 'bank_2': 0.85194, 'bank_3': 0.89838, 'bank_4': 0.88704, 'bank_5': 0.89838, 'bank_6': 0.85842, 'bank_7': 0.87678}"
frfcfs,workload1_random.txt,32,8,1.0,2,13101,86859,296.5311,701.0,242.6767,0.13101,131.01,0.0001,1.0,"{'bank_0': 0.91422, 'bank_1': 0.87462, 'bank_2': 0.85194, 'bank_3': 0.89838, 'bank_4': 0.88704, 'bank_5': 0.89838, 'bank_6': 0.85842, 'bank_7': 0.87678}"
frfcfs,workload1_random.txt,32,8,1.0,4,13101,86859,296.5311,701.0,242.6767,0.13101,131.01,0.0001,1.0,"{'bank_0': 0.91422, 'bank_1': 0.87462, 'bank_2': 0.85194, 'bank_3': 0.89838, 'bank_4': 0.88704, 'bank_5': 0.89838, 'bank_6': 0.85842, 'bank_7': 0.87678}"
frfcfs,workload1_random.txt,32,8,1.0,8,13101,86859,296.5311,701.0,242.6767,0.13101,131.01,0.0001,1.0,"{'bank_0': 0.91422, 'bank_1': 0.87462, 'bank_2': 0.85194, 'bank_3': 0.89838, 'bank_4': 0.88704, 'bank_5': 0.89838, 'bank_6': 0.85842, 'bank_7': 0.87678}"
frfcfs,workload2_sequential.txt,4,8,1.0,1,12065,87924,85.9723,109.0,32.1275,0.12065,120.65,0.0,1.0,"{'bank_0': 0.95994, 'bank_1': 0.9243, 'bank_2': 0.92592, 'bank_3': 0.53982, 'bank_4': 0.73692, 'bank_5': 0.73584, 'bank_6': 0.94266, 'bank_7': 0.73476}"
frfcfs,workload2_sequential.txt,8,8,1.0,1,14288,85696,108.8147,113.0,54.9457,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
frfcfs,workload2_sequential.txt,16,8,1.0,1,14288,85688,164.7251,167.0,110.8561,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
frfcfs,workload2_sequential.txt,32,8,1.0,1,14288,85672,276.4401,275.0,222.5711,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
frfcfs,workload2_sequential.txt,64,8,1.0,1,14288,85640,499.439,775.0,445.57,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
frfcfs,workload2_sequential.txt,32,2,1.0,1,3572,96394,944.2828,1211.0,890.4138,0.03572,35.72,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264}"
frfcfs,workload2_sequential.txt,32,4,1.0,1,7144,92820,499.5392,777.0,445.6702,0.07144,71.44,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264}"
frfcfs,workload2_sequential.txt,32,8,1.0,1,14288,85672,276.4401,275.0,222.5711,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
